hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
449,3458.7999999999984,2766.5,756.0,1600.0,712.0,134.0
450,3461.0999999999985,2671.5,755.0,1552.0,687.0,158.0
451,3443.8999999999987,2675.5,756.0,1564.0,666.0,127.0
452,3442.9999999999986,2706.5,755.0,1565.0,673.0,161.0
453,3436.0999999999985,2669.5,755.0,1617.0,709.0,126.0
454,3444.9999999999986,2696.5,756.0,1569.0,727.0,136.0
455,3442.9999999999986,2559.5,756.0,1544.0,700.0,104.0
456,3394.0999999999985,1996.5,756.0,1224.0,446.0,62.0
457,3408.8999999999987,1874.5,758.0,1224.0,437.0,63.0
458,3403.9999999999986,1805.5,757.0,1224.0,424.0,61.0
459,3404.799999999999,1808.5,756.0,1224.0,421.0,69.0
460,3410.8999999999987,1825.5,758.0,1224.0,421.0,77.0
461,3410.8999999999987,1768.5,758.0,1224.0,421.0,109.0
462,3410.8999999999987,1799.5,758.0,1224.0,421.0,109.0
463,3408.799999999999,1832.5,757.0,1224.0,421.0,109.0
464,3410.9999999999986,1873.5,757.0,1224.0,421.0,109.0
465,3410.9999999999986,1979.5,761.0,1272.0,428.0,109.0
466,3410.8999999999987,2166.5,763.0,1320.0,490.0,110.0
467,3401.799999999999,2373.5,761.0,1456.0,680.0,110.0
468,3409.9999999999986,2251.5,761.0,1344.0,796.0,110.0
469,3410.8999999999987,2329.5,761.0,1400.0,454.0,158.0
470,3419.3999999999987,2428.5,763.0,1328.0,585.0,126.0
471,3425.299999999999,2594.5,762.0,1360.0,685.0,128.0
472,3430.299999999999,2608.5,761.0,1336.0,615.0,130.0
473,3429.299999999999,2765.5,763.0,1336.0,610.0,131.0
474,3435.299999999999,2723.5,761.0,1312.0,592.0,122.0
475,3450.299999999999,2706.5,760.0,1632.0,612.0,119.0
476,3449.299999999999,2696.5,762.0,1512.0,623.0,127.0
477,3448.299999999999,2687.5,764.0,1496.0,604.0,125.0
478,3453.299999999999,2607.5,762.0,1496.0,616.0,195.0
479,3455.299999999999,2705.5,761.0,1496.0,622.0,155.0
480,3427.599999999999,1780.5,742.0,960.0,281.0,83.0
481,3432.599999999999,1670.5,743.0,960.0,243.0,76.0
482,3426.599999999999,1598.5,743.0,960.0,237.0,59.0
483,3431.599999999999,1574.5,743.0,960.0,231.0,58.0
484,3419.599999999999,1566.5,743.0,960.0,231.0,58.0
485,3434.599999999999,1584.5,743.0,960.0,231.0,58.0
486,3436.599999999999,1584.5,742.0,960.0,231.0,58.0
487,3444.599999999999,1593.5,744.0,960.0,217.0,90.0
488,3455.599999999999,1763.5,743.0,960.0,215.0,90.0
489,3453.599999999999,1799.5,744.0,976.0,235.0,90.0
490,3456.599999999999,1938.5,743.0,1032.0,264.0,92.0
491,3455.599999999999,2144.5,761.0,1104.0,252.0,111.0
492,3471.599999999999,2110.5,760.0,1160.0,251.0,110.0
493,3475.599999999999,2107.5,761.0,1040.0,260.0,106.0
494,3488.299999999999,2285.5,761.0,1656.0,522.0,138.0
495,3491.299999999999,2524.5,761.0,1512.0,824.0,150.0
496,3483.299999999999,2461.5,762.0,2056.0,564.0,88.0
497,3493.299999999999,2606.5,763.0,1560.0,559.0,153.0
498,3492.299999999999,2500.5,762.0,1568.0,606.0,88.0
499,3499.299999999999,2459.5,763.0,1632.0,553.0,112.0
500,3498.299999999999,2603.5,761.0,1712.0,611.0,103.0
501,3491.299999999999,2618.5,761.0,1528.0,543.0,97.0
502,3495.299999999999,2465.5,761.0,1536.0,575.0,113.0
503,3502.299999999999,2463.5,762.0,1560.0,735.0,200.0
504,3406.299999999999,1846.5,753.0,1112.0,406.0,123.0
505,3412.299999999999,1741.5,754.0,1104.0,502.0,131.0
506,3418.299999999999,1694.5,753.0,1096.0,487.0,67.0
507,3413.299999999999,1662.5,755.0,1096.0,366.0,82.0
508,3420.299999999999,1780.5,753.0,1096.0,366.0,74.0
509,3417.299999999999,1724.5,754.0,1088.0,366.0,74.0
510,3426.299999999999,1694.5,754.0,1088.0,366.0,74.0
511,3417.299999999999,1783.5,753.0,1088.0,366.0,74.0
512,3422.299999999999,1825.5,753.0,1088.0,369.0,82.0
513,3428.299999999999,1865.5,755.0,1280.0,382.0,82.0
514,3445.299999999999,2063.5,753.0,1280.0,530.0,91.0
515,3439.299999999999,2321.5,751.0,1264.0,536.0,91.0
516,3454.299999999999,2396.5,752.0,1520.0,391.0,76.0
517,3470.299999999999,2379.5,752.0,1512.0,434.0,77.0
518,3481.299999999999,2418.5,754.0,1656.0,429.0,69.0
519,3537.299999999999,2460.5,759.0,1520.0,430.0,67.0
520,3536.299999999999,2519.5,761.0,1520.0,427.0,67.0
521,3556.299999999999,2557.5,757.0,1560.0,436.0,58.0
522,3568.299999999999,2550.5,756.0,1552.0,451.0,59.0
523,3574.299999999999,2401.5,758.0,1544.0,424.0,59.0
524,3562.299999999999,2535.5,760.0,1504.0,419.0,58.0
525,3545.299999999999,2523.5,759.0,1528.0,421.0,58.0
526,3544.299999999999,2461.5,759.0,1536.0,662.0,68.0
527,3532.799999999999,2540.5,759.0,1552.0,674.0,184.0
528,3481.3999999999987,2140.5,755.0,912.0,199.0,164.0
529,3468.8999999999987,2037.5,756.0,880.0,552.0,147.0
530,3465.8999999999987,1899.5,756.0,880.0,368.0,149.0
531,3464.699999999999,1867.5,757.0,880.0,368.0,149.0
532,3465.199999999999,1925.5,756.0,880.0,367.0,147.0
533,3472.199999999999,1909.5,755.0,880.0,368.0,147.0
534,3477.199999999999,1918.5,756.0,880.0,369.0,146.0
535,3480.199999999999,1937.5,756.0,880.0,367.0,42.0
536,3482.199999999999,1983.5,757.0,904.0,399.0,146.0
537,3471.199999999999,1984.5,757.0,1024.0,575.0,146.0
538,3475.199999999999,2044.5,756.0,952.0,589.0,146.0
539,3476.199999999999,2129.5,757.0,952.0,652.0,146.0
540,3487.199999999999,2141.5,757.0,952.0,661.0,153.0
541,3487.199999999999,2123.5,757.0,1264.0,653.0,153.0
542,3479.199999999999,2206.5,757.0,2096.0,661.0,153.0
543,3478.199999999999,2355.5,757.0,1208.0,687.0,153.0
544,3489.299999999999,2318.5,756.0,1104.0,682.0,153.0
545,3491.299999999999,2312.5,757.0,1016.0,670.0,169.0
546,3498.299999999999,2319.5,755.0,1016.0,685.0,169.0
547,3494.799999999999,2290.5,756.0,1016.0,666.0,169.0
548,3502.299999999999,2414.5,755.0,1448.0,663.0,169.0
