submit_hour,jobs,gpu_seconds,gpu_demand
3846,47,9928119.0,618.0
3847,27,707032.0,85.0
3848,33,377146.5,58.5
3849,46,5270172.0,399.0
3850,184,62341319.5,1009.0
3851,121,22426619.5,553.0
3852,84,6906258.7,551.6
3853,72,13817423.5,343.2
3854,149,21819967.2,522.7
3855,118,18104003.0,648.5
3856,158,15936755.2,811.9
3857,212,14130498.8,1738.1
3858,97,10510433.6,927.9
3859,97,12835685.5,489.9
3860,97,28195384.7,860.0
3861,80,10428383.8,866.4
3862,60,14721165.5,1016.5
3863,84,13582637.5,1173.5
3864,60,13669818.5,745.4
3865,56,33341932.5,878.0
3866,47,6544209.0,376.5
3867,32,2288776.0,248.0
3868,25,978679.0,38.0
3869,74,7017513.0,428.0
3870,69,3253092.0,386.0
3871,36,1276680.6,186.2
3872,38,327869.2,109.5
3873,43,17394109.5,888.9
3874,127,39830150.4,746.6
3875,113,24058350.900000002,712.6
3876,75,1428465.0,252.5
3877,52,11027115.8,271.5
3878,81,53985151.5,596.3
3879,106,41512745.7,349.3
3880,162,61528477.0,2350.1
3881,160,25298086.5,2479.0
3882,79,171575244.0,1607.5
3883,72,14072968.6,810.8
3884,69,12282501.0,714.5
3885,44,11436839.0,211.2
3886,51,3615044.0,210.0
3887,51,8804752.2,324.3
3888,53,31524678.5,504.5
3889,42,9005117.0,184.0
3890,37,6497800.0,72.0
3891,32,4966726.0,40.0
3892,37,6940770.0,55.0
3893,32,875107.0,61.0
3894,36,2470219.0,62.0
3895,33,1588547.0,107.0
3896,39,41469000.0,493.0
3897,45,14114728.0,91.5
3898,67,160714128.0,722.0
3899,60,1867454.0,202.0
3900,53,1136691.0,229.0
3901,60,4628084.0,264.0
3902,113,1059960.0,234.0
3903,54,16242293.0,1584.0
3904,46,5589138.0,222.0
3905,40,3466680.0,323.0
3906,31,2442158.0,309.0
3907,45,291969639.0,1153.0
3908,48,4213175.0,350.0
3909,35,2666677.0,588.0
3910,36,2192953.0,376.0
3911,34,8390320.0,624.0
3912,57,12368624.0,133.0
3913,43,5841318.0,138.0
3914,48,1486963.0,79.0
3915,57,219403.0,69.0
3916,49,2506452.0,71.0
3917,56,3832613.0,97.0
3918,42,3925810.0,57.0
3919,54,3334998.0,84.0
3920,33,933622.0,72.0
3921,43,10305547.0,135.0
3922,41,5834684.0,248.0
3923,53,1800554.0,468.0
3924,54,5177403.0,418.0
3925,71,9029269.5,252.0
3926,35,4408577.0,349.0
3927,35,3841736.0,285.0
3928,37,2714163.0,237.0
3929,37,2810414.0,151.0
3930,27,1218531.0,379.0
3931,51,3317982.0,604.0
3932,45,7072151.0,348.0
3933,44,7267218.0,588.0
3934,25,13221076.0,528.0
3935,51,2843018.0,316.0
3936,41,3515580.0,199.0
3937,43,14034618.0,330.0
3938,36,6973906.9,197.8
3939,63,719384.0,117.0
3940,26,4867803.0,66.5
3941,69,2469225.0,201.0
3942,28,2090454.0,386.0
3943,32,1336416.5,140.5
3944,37,3205090.0,249.0
3945,25,688486.0,56.0
3946,110,98872996.0,894.8
3947,129,17231469.3,433.3
3948,47,5112147.5,196.5
3949,45,3941745.5,159.0
3950,115,65322637.7,637.1
3951,156,22923107.0,656.0
3952,108,10528311.5,593.0
3953,123,12058753.6,694.8
3954,69,2086326.0,329.0
3955,115,35159599.3,1849.2
3956,125,18079482.9,1354.7
3957,90,11849677.5,990.0
3958,71,2317221.0,211.5
3959,76,14280156.5,269.0
3960,168,16162706.5,409.5
3961,109,14012259.5,255.0
3962,105,10153565.0,618.0
3963,94,2546012.5,196.0
3964,77,2656264.5,107.0
3965,97,3352133.0,213.0
3966,89,3846304.0,139.0
3967,217,3377113.0,365.5
3968,98,6800046.5,135.0
3969,78,3945756.5,99.0
3970,151,14675919.5,1131.0
3971,129,30770491.0,1268.0
3972,81,2295164.5,316.5
3973,80,19145896.5,231.0
3974,165,17760146.0,2644.0
3975,168,21481566.5,1527.5
3976,138,20181606.5,1261.5
3977,133,15023269.7,756.3
3978,86,23808716.0,1220.0
3979,83,3751539.9,248.0
3980,139,33055652.799999997,1270.1
3981,70,2683762.2,774.6
3982,81,152793595.8,855.9
3983,36,12177837.3,221.3
3984,92,11953239.5,522.6
3985,32,14754450.0,239.0
3986,27,822072.0,60.0
3987,29,3906013.0,105.0
3988,42,4053700.0,50.0
3989,31,1921446.0,94.0
3990,33,1802608.0,40.0
3991,44,990328.0,85.0
3992,24,4825750.0,57.0
3993,27,3541065.0,566.0
3994,182,37311767.0,1155.0
3995,133,26590192.3,1247.3
